Channel Name,Product Name,Channel Product Id,Seller Sku Code,Uniware Sku Code,Blocked Inventory,Disabled,Selling Price,Max Retail Price,Currency Code,Status Code,Next Inventory Update,Last Inventory Update
FLIPKART_techleads,Techleads Temprature display and controller Module w1209 (Pack of 2) Micro Controller Board Electronic Hobby Kit (),LSTEHKFN3MWQZYCXZQ7OEOJWC,) Temperature Sensor and Controller _2,RB-1320,0,FALSE,,,,LINKED,1154,2051
FLIPKART_techleads,Techleads 0.96 Inch 4Pi IIC I2C OLED Display Module for Arduino Display Lights Electronic Hobby Kit (),LSTEHKFN9HFDK6DN45MYNV94Z,0.96 Inch 4Pi IIC,RB-1113,0,FALSE,,,,LINKED,236,59
FLIPKART_JAIN,Techleads 0.96 Inch 4Pi IIC I2C OLED Display Module for Arduino Display Lights Electronic Hobby Kit,LSTEHKFN9HFDK6DN45MYNV94Z,0.96 Inch 4Pi IIC,RB-1113,0,FALSE,,,,LINKED,236,
FLIPKART_JAIN,Robosoft Labs 4 Channel +5V/6V OPTOCOUPLER Protection BASED Relay Board Module for ALL MICROCONTROLLER (Multicolor),LSTETYEJFSZCZHVGHYJSJQV5I,5,RB-1127,0,FALSE,,,,LINKED,686,
AMAZON_IN_techleads,"eprinter BIS Certified Kiosk bank Receipt/POS Bill Printing Support 58 mm tally,POS software USB 5890K Thermal Receipt Printer/Thermal Printer",B07S9C11LD,01-BED7-QVAM,RB-40002,0,FALSE,,,,LINKED,11,
FLIPKART_techleads,Techleads 2. 4inch TFT LCD Shield touch Panel for Arduino with Stylus and Working Library Display Lights Electronic Hobby Kit (),LSTEHKFMVZHXCZQNQHZ3YZQER,02-R8EY-K2YB,RB-1271,0,FALSE,,,,LINKED,3,0
AMAZON_IN_techleads,Generic 0829U8OUTCY JCE 16 x 2 LCD Display,B00OVY28M4,0B-2MS2-9N0P,RB-1121,0,FALSE,,,,LINKED,271,463
AMAZON_IN_techleads,REES52 8CHANNEL 8 Channel 5V Relay Shield Module Board Optocoupler Module for Aduino ARM AVR CN,B01IDNCCFQ,0B-IYW5-3AZE,RB-3100,0,FALSE,,,,LINKED,127,162
AMAZON_IN_techleads,Generic Tec1-12706 Diamondstone Thermoelectric Peltier Cooler Module 12V 92W Maximum for Arduino ARM Raspberry pi and Other MCU,B00ZYMA2K2,0I-K1RH-KQRZ,RB-1108,0,FALSE,,,,LINKED,114,123
AMAZON_IN_techleads,Jbtek 8 Channel Relay Control Panel Plc Relay 5V Module With Optocoupler For Arduino,B00KTELP3I,0K-MA8X-U506,RB-3100,0,FALSE,,,,LINKED,127,162
FLIPKART_techleads,Techleads Imported STM32F103C8T6 Arm STM32 Minimum System Development Board Module For Arduino Electronic Components Electronic Hobby Kit (),LSTEHKFMVZZZ3QWPB7SDXDEOP,0N-V5RS-62NH,RB-1250,0,FALSE,,,,LINKED,81,14
