Category Code,Product Code,Name,Description,Scan Identifier,Category Name,Enabled,Type,Component Product Code,Component Quantity,Component Price,HSN CODE,Tax Calculation Type,Batch Group,GRN expiry tolerance (in days),Dispatch expiry tolerance (in days),Return expiry tolerance (in days),Expirable,Determine Expiry From,Shelf Life
THERMAL PRINTER,BT-N-5890,W/O BOX AND CD 58MM BT MODULE,,BT-N-5890,THERMAL PRINTER,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10001,16x2 Blue x 5,,RB-10001,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1120,5,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10002,DC Pump x 10,,RB-10002,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1165,10,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10003,Sg90 X 5,,RB-10003,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1245,5,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10004,10 x LM2596,,RB-10004,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1202,10,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10005,10 x PIR Sensor,,RB-10005,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1110,10,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10006,10 X W1209,,RB-10006,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1262,10,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10007,5 x Emoji,,RB-10007,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1172,5,100,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
THERMAL PRINTER,RB-10008,Battery Bluetooth Printer,,RB-10008,THERMAL PRINTER,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10009,2 x Simonk,,RB-10009,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1247,2,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10010,3 x Simonk,,RB-10010,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1247,3,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10011,4xSIMONK+4x1000KV+4xPROPELLER+CT6B+BATTERY+B3+F450,,RB-10011,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1101,1,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10011,4xSIMONK+4x1000KV+4xPROPELLER+CT6B+BATTERY+B3+F450,,RB-10011,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1107,1,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10011,4xSIMONK+4x1000KV+4xPROPELLER+CT6B+BATTERY+B3+F450,,RB-10011,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1115,4,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10011,4xSIMONK+4x1000KV+4xPROPELLER+CT6B+BATTERY+B3+F450,,RB-10011,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1159,1,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10011,4xSIMONK+4x1000KV+4xPROPELLER+CT6B+BATTERY+B3+F450,,RB-10011,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1178,1,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10011,4xSIMONK+4x1000KV+4xPROPELLER+CT6B+BATTERY+B3+F450,,RB-10011,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1233,2,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-10011,4xSIMONK+4x1000KV+4xPROPELLER+CT6B+BATTERY+B3+F450,,RB-10011,ROBOTICS COMPONENT,TRUE,BUNDLE,RB-1247,4,50,8529,PRICE_OF_BUNDLE_SKU,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1101,B3 CHARGER,,RB-1101,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1102,BLUETOOTH MODULE HC05,,RB-1102,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1103,CP2102 5 PIN,,RB-1103,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1104,cp2102 6 pin,,RB-1104,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1105,ESP 32,,RB-1105,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1106,IR SENSOR,,RB-1106,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1107,LIPO BATTERY 2200 mah,,RB-1107,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1108,PELTIER,,RB-1108,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1109,PI CAMERA,,RB-1109,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1110,Pir sensor,,RB-1110,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1111,Q7 MIC,,RB-1111,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1112,YF s201 water flow,,RB-1112,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1113,0.96 OLED,,RB-1113,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1114,1 CHANNEL RELAY,,RB-1114,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1115,1000 KV MOTOR,,RB-1115,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1116,10000W,,RB-1116,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1117,1400 KV BRUSHLESS MOTOR,,RB-1117,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1118,150 W ADJUSTABLE MODULE,,RB-1118,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1119,1602 LCD SHIELD,,RB-1119,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1120,16x2 BLUE,,RB-1120,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1121,16X2 DISPLAY{GREEN},,RB-1121,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1122,170 POINT BREADBOARD,,RB-1122,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
ROBOTICS COMPONENT,RB-1123,1800KV BRUSHLES MOTOR,,RB-1123,ROBOTICS COMPONENT,TRUE,SIMPLE,,,,8529,,,,,,From Category,From Category,
